p_raw,p_cal,weight
0.691,0.461,92
0.692,0.461,19
0.692,0.462,51
0.693,0.462,70
0.693,0.463,17
0.694,0.463,102
0.695,0.463,17
0.695,0.464,77
0.696,0.464,54
0.696,0.465,33
0.697,0.465,95
0.698,0.465,10
0.698,0.466,88
0.699,0.466,51
0.699,0.467,42
0.7,0.467,76
0.7,0.468,8
0.701,0.468,115
0.702,0.468,31
0.702,0.469,56
0.703,0.469,69
0.703,0.47,22
0.704,0.47,97
0.705,0.47,18
0.705,0.471,75
0.706,0.471,54
0.706,0.472,45
0.707,0.472,94
0.707,0.473,1
0.708,0.473,101
0.709,0.473,45
0.709,0.474,65
0.71,0.474,81
0.71,0.475,24
0.711,0.475,111
0.712,0.475,9
0.712,0.476,66
0.713,0.476,33
0.713,0.477,49
0.714,0.477,83
0.714,0.478,6
0.715,0.478,98
0.716,0.478,28
0.716,0.479,75
0.717,0.479,50
0.717,0.48,26
0.718,0.48,88
0.719,0.48,5
0.719,0.481,87
0.72,0.481,48
0.72,0.482,49
0.721,0.482,59
0.721,0.483,17
0.722,0.483,92
0.723,0.483,19
0.723,0.484,99
0.724,0.484,34
0.724,0.485,56
0.725,0.485,73
0.725,0.486,17
0.726,0.486,74
0.727,0.486,17
0.727,0.487,97
0.728,0.487,47
0.728,0.488,38
0.729,0.488,80
0.729,0.489,17
0.73,0.489,110
0.731,0.489,21
0.731,0.49,66
0.732,0.49,45
0.732,0.491,42
0.733,0.491,73
0.733,0.492,16
0.734,0.492,101
0.735,0.492,16
0.735,0.493,89
0.736,0.493,48
0.736,0.494,51
0.737,0.494,79
0.737,0.495,17
0.738,0.495,80
0.739,0.495,4
0.739,0.496,93
0.74,0.496,42
0.74,0.497,48
0.741,0.497,64
0.741,0.498,23
0.742,0.498,86
0.742,0.499,2
0.743,0.499,94
0.744,0.499,21
0.744,0.5,75
0.745,0.5,55
0.745,0.501,48
0.746,0.501,89
0.746,0.502,13
0.747,0.502,103
0.748,0.502,17
0.748,0.503,85
0.749,0.503,34
0.749,0.504,50
0.75,0.504,74
0.75,0.505,30
0.751,0.505,97
0.751,0.506,4
0.752,0.506,87
0.753,0.506,22
0.753,0.507,87
0.754,0.507,35
0.754,0.508,58
0.755,0.508,61
0.755,0.509,21
0.756,0.509,84
0.756,0.51,5
0.757,0.51,93
0.758,0.51,17
0.758,0.511,93
0.759,0.511,40
0.759,0.512,59
0.76,0.512,67
0.76,0.513,40
0.761,0.513,84
0.761,0.514,16
0.762,0.514,106
0.763,0.514,6
0.763,0.515,77
0.764,0.515,30
0.764,0.516,77
0.765,0.516,44
0.765,0.517,52
0.766,0.517,78
0.766,0.518,36
0.767,0.518,106
0.767,0.519,4
0.768,0.519,101
0.769,0.519,13
0.769,0.52,97
0.77,0.52,35
0.77,0.521,65
0.771,0.521,70
0.771,0.522,55
0.772,0.522,65
0.772,0.523,28
0.773,0.523,104
0.773,0.524,7
0.774,0.524,106
0.775,0.524,16
0.775,0.525,98
0.776,0.525,34
0.776,0.526,74
0.777,0.526,54
0.777,0.527,49
0.778,0.527,63
0.778,0.528,31
0.779,0.528,93
0.779,0.529,23
0.78,0.529,106
0.78,0.53,1
0.781,0.53,111
0.782,0.53,12
0.782,0.531,96
0.783,0.531,35
0.783,0.532,67
0.784,0.532,49
0.784,0.533,56
0.785,0.533,72
0.785,0.534,38
0.786,0.534,77
0.786,0.535,32
0.787,0.535,97
0.787,0.536,18
0.788,0.536,101
0.789,0.536,1
0.789,0.537,123
0.79,0.537,17
0.79,0.538,104
0.791,0.538,31
0.791,0.539,75
0.792,0.539,49
0.792,0.54,77
0.793,0.54,59
0.793,0.541,65
0.794,0.541,68
0.794,0.542,43
0.795,0.542,86
0.795,0.543,24
0.796,0.543,87
0.796,0.544,24
0.797,0.544,99
0.797,0.545,19
0.798,0.545,108
0.799,0.545,5
0.799,0.546,105
0.8,0.546,15
0.8,0.547,103
0.801,0.547,26
0.801,0.548,94
0.802,0.548,38
0.802,0.549,83
0.803,0.549,43
0.803,0.55,72
0.804,0.55,61
0.804,0.551,46
0.805,0.551,53
0.805,0.552,58
0.806,0.552,51
0.806,0.553,50
0.807,0.553,67
0.807,0.554,29
0.808,0.554,92
0.808,0.555,35
0.809,0.555,96
0.809,0.556,19
0.81,0.556,91
0.81,0.557,18
0.811,0.557,92
0.811,0.558,14
0.812,0.558,104
0.812,0.559,8
0.813,0.559,116
0.813,0.56,7
0.814,0.56,115
0.815,0.56,1
0.815,0.561,110
0.816,0.561,5
0.816,0.562,103
0.817,0.562,6
0.817,0.563,97
0.818,0.563,9
0.818,0.564,98
0.819,0.564,16
0.819,0.565,123
0.82,0.565,14
0.82,0.566,112
0.821,0.566,13
0.821,0.567,121
0.822,0.567,13
0.822,0.568,111
0.823,0.568,11
0.823,0.569,119
0.824,0.569,24
0.824,0.57,101
0.825,0.57,17
0.825,0.571,95
0.826,0.571,17
0.826,0.572,114
0.827,0.572,13
0.827,0.573,113
0.828,0.573,22
0.828,0.574,97
0.829,0.574,10
0.829,0.575,118
0.83,0.575,13
0.83,0.576,108
0.831,0.576,10
0.831,0.577,109
0.832,0.577,7
0.832,0.578,114
0.833,0.579,110
0.833,0.58,1
0.834,0.58,144
0.834,0.581,7
0.835,0.581,107
0.835,0.582,18
0.836,0.582,112
0.836,0.583,20
0.837,0.583,79
